team,rank,country,level,elo,from,to,league
Liverpool,1.0,ENG,1,2023.97290039,2020-06-25,2020-07-02,ENG-Premier League
Bayern,2.0,GER,1,2017.63415527,2020-06-28,2020-07-02,GER-Bundesliga
Man City,3.0,ENG,1,1974.56164551,2020-06-26,2020-07-02,ENG-Premier League
Barcelona,4.0,ESP,1,1968.48266602,2020-06-28,2020-06-30,ESP-La Liga
Juventus,5.0,ITA,1,1911.96569824,2020-06-27,2020-06-30,ITA-Serie A
Real Madrid,6.0,ESP,1,1910.18920898,2020-06-29,2020-07-02,ESP-La Liga
Paris SG,7.0,FRA,1,1901.07177734,2020-06-22,2020-07-07,FRA-Ligue 1
Atletico,8.0,ESP,1,1892.26208496,2020-06-28,2020-06-30,ESP-La Liga
Man United,9.0,ENG,1,1857.93896484,2020-06-28,2020-06-30,ENG-Premier League
RB Leipzig,10.0,GER,1,1849.79077148,2020-06-28,2020-08-01,GER-Bundesliga
Chelsea,11.0,ENG,1,1839.75415039,2020-06-28,2020-07-01,ENG-Premier League
Dortmund,12.0,GER,1,1839.19519043,2020-06-28,2020-07-01,GER-Bundesliga
Atalanta,13.0,ITA,1,1831.07055664,2020-06-29,2020-07-01,ITA-Serie A
Tottenham,14.0,ENG,1,1803.88122559,2020-06-27,2020-06-30,ENG-Premier League
Inter,15.0,ITA,1,1802.59375,2020-06-29,2020-06-30,ITA-Serie A
Wolves,16.0,ENG,1,1801.5333252,2020-06-29,2020-06-30,ENG-Premier League
Sevilla,17.0,ESP,1,1801.33276367,2020-06-29,2020-06-30,ESP-La Liga
Leverkusen,18.0,GER,1,1799.99572754,2020-06-29,2020-07-01,GER-Bundesliga
Leicester,19.0,ENG,1,1796.51391602,2020-06-28,2020-07-01,ENG-Premier League
Arsenal,20.0,ENG,1,1796.01977539,2020-06-26,2020-07-01,ENG-Premier League
Getafe,21.0,ESP,1,1785.47167969,2020-06-30,2020-07-02,ESP-La Liga
Napoli,22.0,ITA,1,1777.94970703,2020-06-29,2020-07-02,ITA-Serie A
Ajax,23.0,NED,1,1768.0904541,2020-06-26,2020-06-30,
Lazio,24.0,ITA,1,1767.29589844,2020-06-28,2020-06-30,ITA-Serie A
Gladbach,25.0,GER,1,1764.94067383,2020-06-28,2020-07-01,GER-Bundesliga
Villarreal,26.0,ESP,1,1760.66918945,2020-06-29,2020-07-01,ESP-La Liga
Valencia,27.0,ESP,1,1755.37084961,2020-06-29,2020-07-01,ESP-La Liga
Shakhtar,28.0,UKR,1,1754.62316895,2020-06-29,2020-07-01,
Olympiakos,29.0,GRE,1,1751.36791992,2020-06-29,2020-07-01,
Salzburg,30.0,AUT,1,1749.41418457,2020-06-29,2020-07-01,
Everton,31.0,ENG,1,1748.86230469,2020-06-29,2020-07-01,ENG-Premier League
Bilbao,32.0,ESP,1,1747.04089355,2020-06-29,2020-07-01,ESP-La Liga
Porto,33.0,POR,1,1741.36303711,2020-06-30,2020-07-01,
Hoffenheim,34.0,GER,1,1734.72058105,2020-06-30,2020-07-02,GER-Bundesliga
Roma,35.0,ITA,1,1733.12219238,2020-06-30,2020-07-02,ITA-Serie A
Sociedad,36.0,ESP,1,1730.71789551,2020-06-30,2020-07-02,ESP-La Liga
Crystal Palace,37.0,ENG,1,1723.21203613,2020-06-30,2020-07-02,ENG-Premier League
Burnley,38.0,ENG,1,1723.11547852,2020-06-30,2020-07-02,ENG-Premier League
Wolfsburg,39.0,GER,1,1722.79223633,2020-06-28,2020-07-02,GER-Bundesliga
Frankfurt,40.0,GER,1,1710.3885498,2020-06-30,2020-07-01,GER-Bundesliga
Benfica,41.0,POR,1,1707.97668457,2020-06-30,2020-07-01,
Zenit,42.0,RUS,1,1706.38793945,2020-06-27,2020-07-01,
Levante,43.0,ESP,1,1705.07751465,2020-06-29,2020-07-01,ESP-La Liga
Celta,44.0,ESP,1,1704.13525391,2020-06-29,2020-06-30,ESP-La Liga
Newcastle,45.0,ENG,1,1701.79797363,2020-06-29,2020-06-30,ENG-Premier League
Lyon,46.0,FRA,1,1697.84985352,2020-06-26,2020-06-30,FRA-Ligue 1
Eibar,47.0,ESP,1,1697.79370117,2020-06-29,2020-06-30,ESP-La Liga
Milan,48.0,ITA,1,1696.05395508,2020-06-29,2020-06-30,ITA-Serie A
Southampton,49.0,ENG,1,1690.71960449,2020-06-29,2020-06-30,ENG-Premier League
Betis,50.0,ESP,1,1689.99279785,2020-06-29,2020-06-30,ESP-La Liga
Sheffield United,51.0,ENG,1,1686.14624023,2020-06-29,2020-06-30,ENG-Premier League
Brugge,52.0,BEL,1,1685.00341797,2020-06-29,2020-07-04,
Marseille,53.0,FRA,1,1682.20458984,2020-06-28,2020-07-02,FRA-Ligue 1
Dinamo Zagreb,54.0,CRO,1,1679.02111816,2020-06-28,2020-07-01,
Osasuna,55.0,ESP,1,1676.50708008,2020-06-29,2020-07-01,ESP-La Liga
Granada,56.0,ESP,1,1674.38378906,2020-06-29,2020-07-01,ESP-La Liga
Basel,57.0,SUI,1,1670.65734863,2020-06-29,2020-07-01,
Lille,58.0,FRA,1,1665.83532715,2020-06-29,2020-07-05,FRA-Ligue 1
Freiburg,59.0,GER,1,1665.37683105,2020-06-29,2020-07-05,GER-Bundesliga
Watford,60.0,ENG,1,1665.08496094,2020-06-29,2020-07-04,ENG-Premier League
West Ham,61.0,ENG,1,1664.45556641,2020-06-28,2020-07-01,ENG-Premier League
Alaves,62.0,ESP,1,1659.88452148,2020-06-29,2020-07-01,ESP-La Liga
Mainz,63.0,GER,1,1657.33044434,2020-06-29,2020-07-01,GER-Bundesliga
Brighton,64.0,ENG,1,1656.17468262,2020-06-29,2020-06-30,ENG-Premier League
Valladolid,65.0,ESP,1,1655.34667969,2020-06-29,2020-06-30,ESP-La Liga
Hertha,66.0,GER,1,1653.32849121,2020-06-29,2020-06-30,GER-Bundesliga
LASK,67.0,AUT,1,1652.55041504,2020-06-29,2020-06-30,
Young Boys,68.0,SUI,1,1650.38745117,2020-06-28,2020-06-30,
