from,rank,team,country,level,elo,to,season
2024-08-03,56.0,Frankfurt,GER,1,1696.98669434,2024-08-07,2024-2025
2024-08-08,55.0,Frankfurt,GER,1,1696.98669434,2024-08-11,2024-2025
2024-08-12,54.0,Frankfurt,GER,1,1696.98669434,2024-08-13,2024-2025
2024-08-14,55.0,Frankfurt,GER,1,1696.98669434,2024-08-17,2024-2025
2024-08-18,53.0,Frankfurt,GER,1,1696.98669434,2024-08-18,2024-2025
2024-08-19,54.0,Frankfurt,GER,1,1696.98669434,2024-08-20,2024-2025
2024-08-21,55.0,Frankfurt,GER,1,1696.98669434,2024-08-22,2024-2025
2024-08-23,55.0,Frankfurt,GER,1,1697.64892578,2024-08-24,2024-2025
2024-08-25,57.0,Frankfurt,GER,1,1693.56066895,2024-08-25,2024-2025
2024-08-26,56.0,Frankfurt,GER,1,1693.56066895,2024-08-27,2024-2025
2024-08-28,54.0,Frankfurt,GER,1,1693.56066895,2024-08-28,2024-2025
2024-08-29,55.0,Frankfurt,GER,1,1693.56066895,2024-08-29,2024-2025
2024-08-30,52.0,Frankfurt,GER,1,1693.96630859,2024-08-30,2024-2025
2024-08-31,53.0,Frankfurt,GER,1,1693.96630859,2024-08-31,2024-2025
2024-09-01,52.0,Frankfurt,GER,1,1702.8104248,2024-09-01,2024-2025
2024-09-02,51.0,Frankfurt,GER,1,1702.8104248,2024-09-14,2024-2025
2024-09-15,50.0,Frankfurt,GER,1,1711.29772949,2024-09-17,2024-2025
2024-09-18,50.0,Frankfurt,GER,1,1711.07141113,2024-09-18,2024-2025
2024-09-19,48.0,Frankfurt,GER,1,1714.56726074,2024-09-19,2024-2025
2024-09-20,49.0,Frankfurt,GER,1,1716.02404785,2024-09-21,2024-2025
2024-09-22,45.0,Frankfurt,GER,1,1723.2689209,2024-09-22,2024-2025
2024-09-23,46.0,Frankfurt,GER,1,1723.2689209,2024-09-25,2024-2025
2024-09-26,46.0,Frankfurt,GER,1,1723.53674316,2024-09-26,2024-2025
2024-09-27,48.0,Frankfurt,GER,1,1716.8963623,2024-09-28,2024-2025
2024-09-29,47.0,Frankfurt,GER,1,1716.8963623,2024-09-29,2024-2025
2024-09-30,45.0,Frankfurt,GER,1,1724.3203125,2024-10-01,2024-2025
2024-10-02,46.0,Frankfurt,GER,1,1725.69238281,2024-10-02,2024-2025
2024-10-03,48.0,Frankfurt,GER,1,1719.14599609,2024-10-03,2024-2025
2024-10-04,45.0,Frankfurt,GER,1,1730.84570312,2024-10-05,2024-2025
2024-10-06,46.0,Frankfurt,GER,1,1730.84570312,2024-10-06,2024-2025
2024-10-07,45.0,Frankfurt,GER,1,1734.63549805,2024-10-19,2024-2025
2024-10-20,44.0,Frankfurt,GER,1,1731.98242188,2024-10-21,2024-2025
2024-10-22,43.0,Frankfurt,GER,1,1731.98242188,2024-10-22,2024-2025
