players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
21,31.7,6,2748,452,1188,1143,447,71,2748,68,28,41.2,40,58.8,1350,7386,3672,63,45,16,85,70,1451,125,/en/squads/eab315a6/2017-2018/APOEL-FC-Stats
20,42.5,6,3606,343,976,1913,757,93,3606,93,59,63.4,34,36.6,1761,9417,4838,88,76,18,76,66,2398,242,/en/squads/08ad393c/2017-2018/Anderlecht-Stats
20,51.8,6,4004,296,948,1952,1146,144,4003,95,59,62.1,36,37.9,2376,13220,7452,158,125,31,82,71,2725,295,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
22,64.2,10,8198,609,1997,4282,1967,237,8198,177,113,63.8,64,36.2,5343,24993,13094,198,201,71,123,105,6317,510,/en/squads/206d90db/2017-2018/Barcelona-Stats
21,35.9,8,4035,455,1495,1946,657,108,4034,148,92,62.2,54,36.5,2108,11543,6239,126,88,31,118,70,2292,196,/en/squads/d3d9424a/2017-2018/Basel-Stats
22,58.8,12,8775,639,2102,4184,2563,416,8774,190,126,66.3,64,33.7,5415,28267,15006,329,277,93,131,129,6327,723,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
25,56.8,6,4249,255,886,2396,993,107,4249,110,77,70.0,33,30.0,2444,13077,7168,137,112,20,77,73,2974,247,/en/squads/a77c513e/2017-2018/Benfica-Stats
23,47.8,8,4582,560,1563,2158,907,138,4580,136,83,61.0,52,38.2,2182,12324,6279,135,92,35,131,90,2685,262,/en/squads/0f9294bd/2017-2018/Besiktas-Stats
20,43.5,6,3594,342,1132,1730,774,94,3593,68,45,66.2,23,33.8,1621,8681,4729,101,82,12,88,73,2140,196,/en/squads/f0c0c2c2/2017-2018/CSKA-Moscow-Stats
20,43.0,6,3755,464,1450,1886,465,80,3755,108,65,60.2,43,39.8,2033,10606,5497,112,82,32,82,64,2573,156,/en/squads/b81aa4fa/2017-2018/Celtic-Stats
19,45.9,8,5008,415,1369,2385,1317,193,5006,166,111,66.9,55,33.1,3053,16835,8854,178,121,50,103,104,3472,340,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
22,58.3,6,4528,311,1116,2370,1081,144,4528,110,68,61.8,42,38.2,2723,13991,7262,133,119,38,86,60,3278,313,/en/squads/add600ae/2017-2018/Dortmund-Stats
23,39.0,6,3216,399,1290,1483,483,55,3215,85,60,70.6,25,29.4,1897,9666,4346,81,55,13,87,55,1948,137,/en/squads/fb4ca611/2017-2018/Feyenoord-Stats
23,49.4,10,6335,533,1881,3225,1288,182,6333,159,117,73.6,42,26.4,3764,18303,9065,191,142,46,122,87,4404,397,/en/squads/e0652b02/2017-2018/Juventus-Stats
24,50.0,13,8804,710,2209,4555,2127,376,8801,266,174,65.4,90,33.8,5511,26072,14014,280,223,90,173,121,5794,608,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,65.8,10,9099,556,1983,5232,1976,270,9097,253,183,72.3,69,27.3,6621,31359,16274,296,267,70,166,113,7018,562,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
25,56.9,8,5802,428,1384,3172,1299,170,5799,175,112,64.0,63,36.0,3964,18965,9748,190,150,43,112,73,4074,343,/en/squads/19538871/2017-2018/Manchester-United-Stats
23,47.2,6,3378,297,934,1690,793,108,3377,94,56,59.6,38,40.4,1846,9829,5171,89,77,18,84,83,1951,274,/en/squads/fd6114db/2017-2018/Monaco-Stats
17,33.8,6,3082,524,1354,1277,484,57,3082,87,49,56.3,38,43.7,1484,9572,5096,94,78,17,76,61,1850,150,/en/squads/2aae7689/2017-2018/NK-Maribor-Stats
20,54.7,6,4453,332,1060,2586,851,107,4449,75,49,65.3,26,34.7,2616,12464,7188,129,107,24,77,63,3241,315,/en/squads/d48ad4ff/2017-2018/Napoli-Stats
22,36.8,6,2997,405,1138,1313,581,60,2997,94,51,54.3,43,45.7,1620,9205,4469,85,64,15,51,61,1828,167,/en/squads/2fdb4aef/2017-2018/Olympiacos-Stats
19,53.3,8,5956,491,1714,2996,1326,239,5955,218,137,62.8,81,37.2,3525,18454,9728,210,156,47,107,108,4434,361,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
25,45.1,8,4552,466,1563,2173,887,176,4552,180,107,59.4,73,40.6,2634,14672,7154,159,109,38,110,118,2726,274,/en/squads/5e876ee6/2017-2018/Porto-Stats
20,44.0,6,3543,468,1410,1792,380,42,3543,97,58,59.8,39,40.2,2057,11170,5145,97,69,17,89,41,2318,147,/en/squads/44b65410/2017-2018/Qarabag-Stats
19,55.8,6,4010,355,1090,2093,874,144,4009,124,90,72.6,34,27.4,2074,12229,6693,162,115,47,113,78,2518,269,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats
23,57.4,13,9726,733,2453,4764,2597,385,9722,223,155,69.5,68,30.5,6464,32317,16867,365,263,112,137,119,7179,727,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats
20,50.9,12,7501,714,2169,3759,1648,247,7498,210,131,62.4,79,37.6,4931,26077,13343,273,165,67,170,137,5010,553,/en/squads/cf74a709/2017-2018/Roma-Stats
22,57.8,10,7403,490,1732,3800,1917,246,7401,190,121,63.7,68,35.8,4580,20925,11650,225,148,61,139,117,5167,595,/en/squads/ad2be733/2017-2018/Sevilla-Stats
20,47.5,8,4874,609,1873,2069,987,143,4874,154,106,68.8,48,31.2,2810,15902,8050,198,123,51,102,106,3353,230,/en/squads/e89d5a28/2017-2018/Shakhtar-Donetsk-Stats
20,46.2,6,3762,378,1132,1862,797,95,3762,82,49,59.8,33,40.2,1908,10225,5577,96,88,19,94,66,2442,264,/en/squads/8c635914/2017-2018/Spartak-Moscow-Stats
21,41.3,6,3190,328,948,1618,663,83,3190,93,62,66.7,31,33.3,1607,9691,5119,103,84,20,85,85,1991,185,/en/squads/13dc44fd/2017-2018/Sporting-CP-Stats
