players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
1,6,6,540,6.0,13,2.17,40,27,72.5,0,0,6,0,0.0,2,2,0,0,0.0,/en/squads/d5348c80/2018-2019/AEK-Athens-Stats
1,12,12,1080,12.0,13,1.08,53,40,77.4,6,4,2,4,33.3,1,1,0,0,0.0,/en/squads/19c3f8c4/2018-2019/Ajax-Stats
1,8,8,720,8.0,9,1.13,19,10,57.9,5,1,2,4,50.0,2,1,0,1,0.0,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
2,12,12,1080,12.0,10,0.83,42,32,76.2,8,3,1,6,50.0,0,0,0,0,,/en/squads/206d90db/2018-2019/Barcelona-Stats
1,8,8,720,8.0,8,1.0,30,22,76.7,4,3,1,4,50.0,1,1,0,0,0.0,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
1,6,6,540,6.0,11,1.83,35,24,68.6,2,1,3,1,16.7,0,0,0,0,,/en/squads/a77c513e/2018-2019/Benfica-Stats
3,6,6,539,6.0,9,1.5,39,29,76.9,2,1,3,2,33.3,1,0,1,0,100.0,/en/squads/f0c0c2c2/2018-2019/CSKA-Moscow-Stats
2,6,6,540,6.0,5,0.83,22,17,77.3,1,3,2,3,50.0,0,0,0,0,,/en/squads/f1e6c5f1/2018-2019/Club-Brugge-Stats
2,8,8,720,8.0,6,0.75,22,16,72.7,4,1,3,5,62.5,0,0,0,0,,/en/squads/add600ae/2018-2019/Dortmund-Stats
1,6,6,540,6.0,8,1.33,24,17,70.8,1,1,4,2,33.3,1,1,0,0,0.0,/en/squads/ecd11ca2/2018-2019/Galatasaray-Stats
1,6,6,540,6.0,14,2.33,43,29,67.4,0,3,3,0,0.0,0,0,0,0,,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
1,6,6,540,6.0,7,1.17,39,32,82.1,2,2,2,0,0.0,0,0,0,0,,/en/squads/d609edc0/2018-2019/Internazionale-Stats
1,10,10,900,10.0,9,0.9,31,22,74.2,5,1,4,5,50.0,2,1,1,0,50.0,/en/squads/e0652b02/2018-2019/Juventus-Stats
1,13,13,1170,13.0,12,0.92,56,45,78.6,8,1,4,6,46.2,0,0,0,0,,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
1,6,6,540,6.0,12,2.0,33,21,69.7,1,0,5,1,16.7,2,2,0,0,0.0,/en/squads/5a8dc328/2018-2019/Lokomotiv-Moscow-Stats
2,8,8,720,8.0,16,2.0,52,36,71.2,1,6,1,1,12.5,1,1,0,0,0.0,/en/squads/d53c0b06/2018-2019/Lyon-Stats
1,10,10,900,10.0,12,1.2,33,21,72.7,7,1,2,3,30.0,3,3,0,0,0.0,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
2,10,10,900,10.0,11,1.1,34,25,67.6,4,1,5,3,30.0,0,0,0,0,,/en/squads/19538871/2018-2019/Manchester-United-Stats
3,6,6,540,6.0,14,2.33,28,14,53.6,0,1,5,0,0.0,2,1,0,1,0.0,/en/squads/fd6114db/2018-2019/Monaco-Stats
1,6,6,540,6.0,5,0.83,20,15,75.0,2,3,1,2,33.3,0,0,0,0,,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
1,6,6,540,6.0,13,2.17,50,37,74.0,0,2,4,0,0.0,0,0,0,0,,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats
2,8,8,720,8.0,12,1.5,28,16,71.4,4,2,2,1,12.5,4,4,0,0,0.0,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
1,10,10,930,10.3,15,1.45,37,21,67.6,6,1,3,1,10.0,5,3,1,1,25.0,/en/squads/5e876ee6/2018-2019/Porto-Stats
2,8,8,720,8.0,10,1.25,37,27,73.0,5,0,3,3,37.5,0,0,0,0,,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
1,6,6,540,6.0,17,2.83,56,38,71.4,1,1,4,2,33.3,2,1,1,0,50.0,/en/squads/099c6eb5/2018-2019/Red-Star-Stats
2,8,8,750,8.3,12,1.44,44,32,75.0,4,0,4,2,25.0,1,1,0,0,0.0,/en/squads/cf74a709/2018-2019/Roma-Stats
2,8,8,720,8.0,14,1.75,32,17,62.5,3,2,3,4,50.0,3,2,1,0,33.3,/en/squads/c539e393/2018-2019/Schalke-04-Stats
1,6,6,540,6.0,16,2.67,36,20,61.1,1,3,2,0,0.0,2,2,0,0,0.0,/en/squads/e89d5a28/2018-2019/Shakhtar-Donetsk-Stats
3,13,13,1167,13.0,19,1.47,55,35,67.3,6,2,5,4,30.8,2,1,1,0,50.0,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
2,6,6,540,6.0,6,1.0,29,23,89.7,2,2,2,1,16.7,3,3,0,0,0.0,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
2,6,6,540,6.0,16,2.67,43,27,67.4,2,1,3,0,0.0,2,2,0,0,0.0,/en/squads/02cd81bf/2018-2019/Viktoria-Plzen-Stats
2,6,6,540,6.0,12,2.0,30,18,63.3,1,1,4,0,0.0,1,1,0,0,0.0,/en/squads/4b682260/2018-2019/Young-Boys-Stats
