players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
20,6.0,15,2,2,81,59,11,65,90,67,0,2,0,269,75,85,46.9,/en/squads/d5348c80/2018-2019/AEK-Athens-Stats
22,12.0,28,1,0,163,156,42,161,173,156,1,1,0,740,187,191,49.5,/en/squads/19c3f8c4/2018-2019/Ajax-Stats
21,8.0,24,1,1,92,85,19,130,110,78,0,2,0,446,127,113,52.9,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
23,12.0,21,1,1,122,178,22,112,121,128,1,0,0,602,111,130,46.1,/en/squads/206d90db/2018-2019/Barcelona-Stats
20,8.0,12,1,0,87,90,22,127,132,94,2,1,0,481,131,104,55.7,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
20,6.0,15,1,1,73,78,3,83,86,95,0,0,0,334,81,92,46.8,/en/squads/a77c513e/2018-2019/Benfica-Stats
22,6.0,16,2,2,83,66,10,78,62,67,2,1,0,282,102,106,49.0,/en/squads/f0c0c2c2/2018-2019/CSKA-Moscow-Stats
25,6.0,8,0,0,61,47,14,87,84,60,0,0,0,307,94,90,51.1,/en/squads/f1e6c5f1/2018-2019/Club-Brugge-Stats
24,8.0,11,0,0,58,66,19,96,101,98,1,0,0,463,88,86,50.6,/en/squads/add600ae/2018-2019/Dortmund-Stats
21,6.0,15,1,1,85,91,14,111,51,72,3,1,1,275,96,91,51.3,/en/squads/ecd11ca2/2018-2019/Galatasaray-Stats
25,6.0,15,2,2,82,58,23,110,54,62,1,0,0,300,65,79,45.1,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
17,6.0,15,0,0,83,73,8,143,62,61,0,0,0,315,80,86,48.2,/en/squads/d609edc0/2018-2019/Internazionale-Stats
22,10.0,16,1,0,126,142,13,221,116,88,3,2,1,504,161,143,53.0,/en/squads/e0652b02/2018-2019/Juventus-Stats
20,13.0,21,0,0,157,122,29,225,114,133,3,0,1,757,197,202,49.4,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
19,6.0,16,1,0,90,80,12,74,93,80,1,2,0,354,119,114,51.1,/en/squads/5a8dc328/2018-2019/Lokomotiv-Moscow-Stats
21,8.0,13,0,0,83,98,25,89,100,79,0,1,0,424,86,80,51.8,/en/squads/d53c0b06/2018-2019/Lyon-Stats
21,10.0,17,1,1,119,87,26,158,116,79,3,3,0,541,129,97,57.1,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
26,10.0,21,1,1,156,109,28,171,90,85,0,0,2,486,129,91,58.6,/en/squads/19538871/2018-2019/Manchester-United-Stats
29,6.0,13,0,0,68,70,12,116,66,52,0,2,0,320,65,88,42.5,/en/squads/fd6114db/2018-2019/Monaco-Stats
18,6.0,13,0,0,68,68,17,107,57,68,1,0,1,371,65,69,48.5,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
18,6.0,14,0,0,82,72,12,83,73,47,0,0,0,266,105,103,50.5,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats
20,8.0,18,0,0,84,122,24,125,79,73,0,4,0,416,85,63,57.4,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
25,10.3,20,0,0,149,139,18,180,119,122,4,5,0,619,202,209,49.1,/en/squads/5e876ee6/2018-2019/Porto-Stats
24,8.0,14,1,1,80,81,22,191,106,95,0,0,0,445,106,112,48.6,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
20,6.0,17,0,0,87,60,16,64,109,48,0,2,0,286,70,103,40.5,/en/squads/099c6eb5/2018-2019/Red-Star-Stats
24,8.3,13,1,1,100,92,15,156,81,77,1,1,0,445,165,143,53.6,/en/squads/cf74a709/2018-2019/Roma-Stats
27,8.0,16,0,0,103,94,22,128,108,107,1,3,0,419,134,130,50.8,/en/squads/c539e393/2018-2019/Schalke-04-Stats
20,6.0,10,0,0,54,76,4,68,75,52,0,2,0,241,47,77,37.9,/en/squads/e89d5a28/2018-2019/Shakhtar-Donetsk-Stats
24,13.0,23,1,0,165,121,29,231,144,110,0,2,0,689,214,183,53.9,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
22,6.0,20,0,0,81,108,21,87,76,67,1,3,0,289,70,81,46.4,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
21,6.0,10,0,0,74,73,13,72,64,47,1,2,0,276,91,108,45.7,/en/squads/02cd81bf/2018-2019/Viktoria-Plzen-Stats
20,6.0,16,2,1,109,63,12,111,74,70,2,1,0,298,87,115,43.1,/en/squads/4b682260/2018-2019/Young-Boys-Stats
