round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
Group stage,1,Tue,2018-09-18,18:55,Barcelona,1.5,4–0,0.7,PSV Eindhoven,73462,Camp Nou,Tasos Sidiropoulos,/en/matches/9ff2cb4e/Barcelona-PSV-Eindhoven-September-18-2018-Champions-League,,9ff2cb4e
Group stage,1,Tue,2018-09-18,21:00,Club Brugge,0.6,0–1,1.0,Dortmund,25181,Jan Breydelstadion,Danny Makkelie,/en/matches/241e3375/Club-Brugge-Dortmund-September-18-2018-Champions-League,,241e3375
Group stage,1,Tue,2018-09-18,22:00,Galatasaray,1.8,3–0,0.9,Loko Moscow,43542,Türk Telekom Arena,Luca Banti,/en/matches/4204103a/Galatasaray-Lokomotiv-Moscow-September-18-2018-Champions-League,,4204103a
Group stage,1,Tue,2018-09-18,18:55,Inter,1.2,2–1,0.8,Tottenham,64123,Stadio Giuseppe Meazza,Ruddy Buquet,/en/matches/a6718ed1/Internazionale-Tottenham-Hotspur-September-18-2018-Champions-League,,a6718ed1
Group stage,1,Tue,2018-09-18,20:00,Liverpool,2.3,3–2,0.8,Paris S-G,52478,Anfield,Baris Şimşek,/en/matches/622fe52e/Liverpool-Paris-Saint-Germain-September-18-2018-Champions-League,,622fe52e
Group stage,1,Tue,2018-09-18,21:00,Monaco,0.7,1–2,0.9,Atlético Madrid,10575,Stade Louis II,William Collum,/en/matches/52d5bc03/Monaco-Atletico-Madrid-September-18-2018-Champions-League,,52d5bc03
Group stage,1,Tue,2018-09-18,21:00,Red Star,0.2,0–0,1.6,Napoli,49112,Stadion Rajko Mitić,Tomasz Musiał,/en/matches/17e0800d/Red-Star-Napoli-September-18-2018-Champions-League,,17e0800d
Group stage,1,Tue,2018-09-18,21:00,Schalke 04,0.9,1–1,2.2,Porto,45755,Veltins-Arena,Ricardo de Burgos,/en/matches/e88880b3/Schalke-04-Porto-September-18-2018-Champions-League,,e88880b3
Group stage,1,Wed,2018-09-19,18:55,Ajax,1.7,3–0,0.4,AEK Athens,52285,Johan Cruyff ArenA,Carlos del Cerro,/en/matches/fea8249c/Ajax-AEK-Athens-September-19-2018-Champions-League,,fea8249c
Group stage,1,Wed,2018-09-19,20:00,Benfica,0.7,0–2,2.4,Bayern Munich,60274,Estádio do Sport Lisboa e Benfica,Antonio Matéu Lahoz,/en/matches/9d299f9b/Benfica-Bayern-Munich-September-19-2018-Champions-League,,9d299f9b
Group stage,1,Wed,2018-09-19,20:00,Manchester City,1.2,1–2,0.8,Lyon,40111,Etihad Stadium,Daniele Orsato,/en/matches/132a3ffe/Manchester-City-Lyon-September-19-2018-Champions-League,,132a3ffe
Group stage,1,Wed,2018-09-19,21:00,Real Madrid,3.5,3–0,0.6,Roma,69251,Estadio Santiago Bernabéu,Björn Kuipers,/en/matches/4d9e8a49/Real-Madrid-Roma-September-19-2018-Champions-League,,4d9e8a49
Group stage,1,Wed,2018-09-19,19:55,Shakhtar,0.6,2–2,1.8,Hoffenheim,28336,Oblasny SportKomplex Metalist,Jakob Kehlet,/en/matches/c0fd0ba5/Shakhtar-Donetsk-Hoffenheim-September-19-2018-Champions-League,,c0fd0ba5
Group stage,1,Wed,2018-09-19,21:00,Valencia,2.0,0–2,3.7,Juventus,46067,Estadio de Mestalla,Felix Brych,/en/matches/181aaa4a/Valencia-Juventus-September-19-2018-Champions-League,,181aaa4a
Group stage,1,Wed,2018-09-19,21:00,Viktoria Plzeň,1.5,2–2,1.7,CSKA Moscow,11312,Doosan Arena,Benoît Bastien,/en/matches/8f08b9c6/Viktoria-Plzen-CSKA-Moscow-September-19-2018-Champions-League,,8f08b9c6
Group stage,1,Wed,2018-09-19,21:00,Young Boys,1.7,0–3,2.0,Manchester Utd,31120,Stade de Suisse Wankdorf Bern,Deniz Aytekin,/en/matches/6764f9f1/Young-Boys-Manchester-United-September-19-2018-Champions-League,,6764f9f1
Group stage,2,Tue,2018-10-02,22:00,AEK Athens,2.8,2–3,1.2,Benfica,31154,Olympiako Stadio Spyros Louis,Orel Grinfeeld,/en/matches/d93b37d2/AEK-Athens-Benfica-October-2-2018-Champions-League,,d93b37d2
Group stage,2,Tue,2018-10-02,21:00,Bayern Munich,1.5,1–1,1.2,Ajax,70000,Allianz Arena,Pavel Královec,/en/matches/cc08673d/Bayern-Munich-Ajax-October-2-2018-Champions-League,,cc08673d
Group stage,2,Tue,2018-10-02,22:00,CSKA Moscow,0.4,1–0,2.2,Real Madrid,71811,VEB Arena,Ovidiu Hațegan,/en/matches/57fa9fa7/CSKA-Moscow-Real-Madrid-October-2-2018-Champions-League,,57fa9fa7
Group stage,2,Tue,2018-10-02,18:55,Hoffenheim,0.6,1–2,2.2,Manchester City,24851,PreZero Arena,Matej Jug,/en/matches/4eb7976a/Hoffenheim-Manchester-City-October-2-2018-Champions-League,,4eb7976a
Group stage,2,Tue,2018-10-02,18:55,Juventus,3.3,3–0,0.2,Young Boys,40961,Allianz Stadium,Sergey Karasev,/en/matches/e353dd04/Juventus-Young-Boys-October-2-2018-Champions-League,,e353dd04
Group stage,2,Tue,2018-10-02,21:00,Lyon,2.8,2–2,1.6,Shakhtar,,Groupama Stadium,Aleksandrs Golubevs,/en/matches/dd69d5de/Lyon-Shakhtar-Donetsk-October-2-2018-Champions-League,,dd69d5de
Group stage,2,Tue,2018-10-02,20:00,Manchester Utd,0.9,0–0,0.4,Valencia,73569,Old Trafford,Slavko Vinčič,/en/matches/3b67ebce/Manchester-United-Valencia-October-2-2018-Champions-League,,3b67ebce
Group stage,2,Tue,2018-10-02,21:00,Roma,3.1,5–0,0.3,Viktoria Plzeň,41243,Stadio Olimpico,Paweł Raczkowski,/en/matches/f4b4bb2c/Roma-Viktoria-Plzen-October-2-2018-Champions-League,,f4b4bb2c
Group stage,2,Wed,2018-10-03,21:00,Atlético Madrid,1.8,3–1,0.6,Club Brugge,55742,Estadio Wanda Metropolitano,Filip Glova,/en/matches/fc814928/Atletico-Madrid-Club-Brugge-October-3-2018-Champions-League,,fc814928
Group stage,2,Wed,2018-10-03,21:00,Dortmund,3.2,3–0,0.5,Monaco,66099,Signal Iduna Park,Aliaksei Kulbakou,/en/matches/55cbaba1/Dortmund-Monaco-October-3-2018-Champions-League,,55cbaba1
