players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
20,26.0,40.8,6,66,540,6.0,2,2,4,2,0,0,15,2,4.7,4.7,4.3,9.0,79,142,0.33,0.33,0.67,0.33,0.67,0.78,0.71,1.49,0.78,1.49,/en/squads/d5348c80/2018-2019/AEK-Athens-Stats
22,24.3,52.9,12,132,1080,12.0,22,17,39,20,2,2,28,1,22.3,20.7,17.6,38.3,236,504,1.83,1.42,3.25,1.67,3.08,1.86,1.46,3.32,1.73,3.19,/en/squads/19c3f8c4/2018-2019/Ajax-Stats
21,26.4,48.9,8,88,720,8.0,11,8,19,11,0,0,24,1,8.1,8.1,6.5,14.6,151,328,1.37,1.0,2.37,1.37,2.37,1.01,0.82,1.83,1.01,1.83,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
23,27.7,61.4,12,132,1080,12.0,25,18,43,24,1,1,21,1,23.1,22.3,17.9,40.2,260,561,2.08,1.5,3.58,2.0,3.5,1.92,1.49,3.41,1.86,3.35,/en/squads/206d90db/2018-2019/Barcelona-Stats
20,28.3,56.9,8,88,720,8.0,15,9,24,13,2,2,12,1,14.7,13.2,11.1,24.3,204,371,1.87,1.13,3.0,1.62,2.75,1.84,1.38,3.23,1.65,3.03,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
20,25.5,44.3,6,66,540,6.0,6,3,9,6,0,0,15,1,6.2,6.2,4.7,10.9,106,209,1.0,0.5,1.5,1.0,1.5,1.03,0.79,1.82,1.03,1.82,/en/squads/a77c513e/2018-2019/Benfica-Stats
22,23.9,44.7,6,66,540,6.0,8,5,13,6,2,2,16,2,6.9,5.3,4.4,9.7,109,218,1.33,0.83,2.17,1.0,1.83,1.15,0.73,1.88,0.88,1.62,/en/squads/f0c0c2c2/2018-2019/CSKA-Moscow-Stats
25,24.9,40.2,6,66,540,6.0,6,3,9,5,1,1,8,0,5.4,4.7,3.3,7.9,100,223,1.0,0.5,1.5,0.83,1.33,0.9,0.55,1.45,0.78,1.32,/en/squads/f1e6c5f1/2018-2019/Club-Brugge-Stats
24,25.0,60.6,8,88,720,8.0,10,8,18,10,0,1,11,0,12.2,11.5,10.6,22.0,170,446,1.25,1.0,2.25,1.25,2.25,1.53,1.32,2.85,1.43,2.75,/en/squads/add600ae/2018-2019/Dortmund-Stats
21,28.4,53.5,6,66,540,6.0,5,2,7,3,2,3,15,1,9.9,7.5,6.8,14.3,100,212,0.83,0.33,1.17,0.5,0.83,1.65,1.14,2.78,1.25,2.39,/en/squads/ecd11ca2/2018-2019/Galatasaray-Stats
25,25.6,45.0,6,66,540,6.0,11,7,18,10,1,1,15,2,11.1,10.3,8.5,18.8,139,260,1.83,1.17,3.0,1.67,2.83,1.85,1.41,3.26,1.72,3.13,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
17,28.1,47.7,6,66,540,6.0,6,4,10,6,0,0,15,0,8.6,8.6,7.4,15.9,129,243,1.0,0.67,1.67,1.0,1.67,1.43,1.23,2.66,1.43,2.66,/en/squads/d609edc0/2018-2019/Internazionale-Stats
22,28.4,55.2,10,110,900,10.0,14,11,25,11,3,3,16,1,18.9,16.7,13.4,30.1,227,460,1.4,1.1,2.5,1.1,2.2,1.89,1.34,3.24,1.67,3.01,/en/squads/e0652b02/2018-2019/Juventus-Stats
20,26.1,51.6,13,143,1170,13.0,24,17,41,20,4,5,21,0,28.3,24.2,19.8,44.0,269,631,1.85,1.31,3.15,1.54,2.85,2.17,1.52,3.7,1.86,3.38,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
19,29.0,45.8,6,66,540,6.0,3,2,5,3,0,1,16,1,6.6,5.8,4.6,10.5,103,207,0.5,0.33,0.83,0.5,0.83,1.11,0.77,1.88,0.97,1.74,/en/squads/5a8dc328/2018-2019/Lokomotiv-Moscow-Stats
21,24.4,43.6,8,88,720,8.0,13,9,22,13,0,0,13,0,12.3,12.3,10.2,22.4,157,290,1.62,1.13,2.75,1.62,2.75,1.53,1.27,2.8,1.53,2.8,/en/squads/d53c0b06/2018-2019/Lyon-Stats
21,26.7,63.0,10,110,900,10.0,30,20,50,27,3,4,17,1,22.9,19.8,16.8,36.6,312,582,3.0,2.0,5.0,2.7,4.7,2.29,1.68,3.97,1.98,3.66,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
26,26.2,45.6,10,110,900,10.0,9,5,14,7,2,2,21,1,10.4,8.9,6.2,15.1,205,397,0.9,0.5,1.4,0.7,1.2,1.04,0.62,1.66,0.89,1.51,/en/squads/19538871/2018-2019/Manchester-United-Stats
29,25.0,45.0,6,66,540,6.0,2,1,3,2,0,1,13,0,5.1,4.3,3.2,7.5,135,241,0.33,0.17,0.5,0.33,0.5,0.84,0.54,1.38,0.72,1.26,/en/squads/fd6114db/2018-2019/Monaco-Stats
18,28.2,56.3,6,66,540,6.0,7,5,12,6,1,1,13,0,10.9,10.1,7.7,17.8,97,312,1.17,0.83,2.0,1.0,1.83,1.81,1.28,3.09,1.68,2.96,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
18,24.4,31.8,6,66,540,6.0,6,5,11,6,0,0,14,0,7.1,7.1,5.5,12.6,85,143,1.0,0.83,1.83,1.0,1.83,1.19,0.92,2.11,1.19,2.11,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats
20,27.0,58.5,8,88,720,8.0,19,14,33,19,0,0,18,0,16.9,16.9,15.2,32.1,212,340,2.37,1.75,4.12,2.37,4.12,2.11,1.9,4.01,2.11,4.01,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
25,27.9,53.0,10,110,930,10.3,20,15,35,16,4,5,20,0,16.9,13.0,11.1,24.0,191,379,1.94,1.45,3.39,1.55,3.0,1.64,1.07,2.71,1.25,2.32,/en/squads/5e876ee6/2018-2019/Porto-Stats
24,27.0,62.1,8,88,720,8.0,15,12,27,15,0,0,14,1,16.9,16.9,15.3,32.1,257,536,1.87,1.5,3.38,1.87,3.38,2.11,1.91,4.02,2.11,4.02,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
20,26.8,30.5,6,66,540,6.0,5,3,8,5,0,0,17,0,2.9,2.9,2.4,5.2,63,118,0.83,0.5,1.33,0.83,1.33,0.48,0.4,0.87,0.48,0.87,/en/squads/099c6eb5/2018-2019/Red-Star-Stats
24,27.4,49.3,8,88,750,8.3,14,12,26,13,1,1,13,1,15.0,14.2,11.6,25.8,153,399,1.68,1.44,3.12,1.56,3.0,1.79,1.39,3.19,1.7,3.09,/en/squads/cf74a709/2018-2019/Roma-Stats
27,26.2,42.3,8,88,720,8.0,8,4,12,5,3,3,16,0,10.5,8.2,5.7,13.9,147,241,1.0,0.5,1.5,0.62,1.13,1.31,0.71,2.02,1.02,1.73,/en/squads/c539e393/2018-2019/Schalke-04-Stats
20,27.5,49.2,6,66,540,6.0,8,8,16,8,0,0,10,0,6.9,6.9,6.2,13.1,135,214,1.33,1.33,2.67,1.33,2.67,1.15,1.04,2.19,1.15,2.19,/en/squads/e89d5a28/2018-2019/Shakhtar-Donetsk-Stats
24,27.0,52.5,13,143,1170,13.0,20,17,37,20,0,0,23,1,20.5,20.5,16.9,37.4,275,564,1.54,1.31,2.85,1.54,2.85,1.58,1.3,2.88,1.58,2.88,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
22,25.9,50.3,6,66,540,6.0,5,2,7,5,0,1,20,0,6.9,6.1,4.6,10.7,126,271,0.83,0.33,1.17,0.83,1.17,1.15,0.77,1.92,1.02,1.79,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
21,29.6,38.8,6,66,540,6.0,7,6,13,7,0,1,10,0,7.8,6.9,5.8,12.6,93,205,1.17,1.0,2.17,1.17,2.17,1.3,0.96,2.26,1.15,2.11,/en/squads/02cd81bf/2018-2019/Viktoria-Plzen-Stats
20,26.1,41.3,6,66,540,6.0,4,1,5,2,2,2,16,2,6.5,5.0,4.2,9.2,109,180,0.67,0.17,0.83,0.33,0.5,1.09,0.7,1.79,0.83,1.53,/en/squads/4b682260/2018-2019/Young-Boys-Stats
