players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
1,6.0,6,2,0,1,0,11.0,0.31,5.0,0.84,26,102,25.5,176,28,43.2,35.6,49,53.1,44.3,62,4,6.5,7,1.17,13.9,/en/squads/19c3f8c4/2019-2020/Ajax-Stats
2,9.0,18,1,0,0,0,20.5,0.43,2.5,0.27,40,106,37.7,167,28,35.9,34.8,54,85.2,56.8,98,3,3.1,9,1.0,15.3,/en/squads/922493f3/2019-2020/Atalanta-Stats
1,9.3,9,0,1,0,1,8.5,0.29,0.5,0.05,66,159,41.5,155,30,58.7,40.4,79,86.1,54.3,164,3,1.8,3,0.32,11.3,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
2,9.0,14,1,0,0,0,17.3,0.35,3.3,0.37,26,67,38.8,262,53,20.6,31.2,67,19.4,26.6,103,3,2.9,4,0.44,10.5,/en/squads/206d90db/2019-2020/Barcelona-Stats
1,11.0,8,1,0,0,1,9.0,0.25,2.0,0.19,37,77,48.1,428,58,17.3,27.5,57,5.3,24.2,90,2,2.2,31,2.82,23.6,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
1,6.0,11,1,0,1,1,9.6,0.31,-0.4,-0.07,16,47,34.0,130,35,22.3,28.6,57,31.6,34.4,93,2,2.2,10,1.67,14.7,/en/squads/a77c513e/2019-2020/Benfica-Stats
2,8.0,16,1,0,1,2,13.6,0.35,-0.4,-0.05,43,87,49.4,187,38,28.3,31.5,69,49.3,41.3,93,5,5.4,11,1.38,17.2,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
1,6.0,12,0,0,1,0,10.7,0.42,-1.3,-0.21,45,99,45.5,137,19,46.0,36.5,59,61.0,44.2,82,3,3.7,7,1.17,15.2,/en/squads/f1e6c5f1/2019-2020/Club-Brugge-Stats
1,6.0,13,2,0,1,0,16.6,0.42,3.6,0.6,48,140,34.3,120,20,68.3,45.5,61,95.1,63.4,84,2,2.4,3,0.5,9.5,/en/squads/edd0d381/2019-2020/Dinamo-Zagreb-Stats
1,8.0,11,0,0,1,0,14.7,0.37,3.7,0.46,15,79,19.0,197,41,31.5,34.0,40,42.5,42.3,77,4,5.2,9,1.13,16.0,/en/squads/add600ae/2019-2020/Dortmund-Stats
1,6.0,14,2,0,0,0,18.0,0.34,4.0,0.67,63,165,38.2,210,35,56.7,40.5,54,85.2,57.5,76,5,6.6,3,0.5,15.1,/en/squads/ecd11ca2/2019-2020/Galatasaray-Stats
2,6.0,20,2,0,0,0,17.6,0.38,-2.4,-0.4,53,128,41.4,198,23,46.0,36.9,57,64.9,46.2,95,2,2.1,9,1.5,6.5,/en/squads/1e972a99/2019-2020/Genk-Stats
1,6.0,9,1,0,0,0,9.8,0.31,0.8,0.14,24,48,50.0,178,36,16.9,26.7,46,39.1,36.0,59,2,3.4,3,0.5,11.2,/en/squads/d609edc0/2019-2020/Internazionale-Stats
2,8.0,6,1,0,1,0,7.7,0.3,1.7,0.21,19,34,55.9,172,48,11.6,25.8,65,21.5,27.4,105,4,3.8,7,0.88,15.2,/en/squads/e0652b02/2019-2020/Juventus-Stats
1,6.0,9,0,0,0,0,8.4,0.3,-0.6,-0.09,39,103,37.9,233,26,38.2,35.6,32,43.8,37.9,49,3,6.1,9,1.5,17.9,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats
2,6.0,14,1,0,2,1,12.2,0.36,-0.8,-0.13,24,97,24.7,141,28,47.5,39.8,37,81.1,55.4,88,4,4.5,9,1.5,15.6,/en/squads/cb188c0c/2019-2020/Lille-Stats
2,8.3,12,1,0,2,0,12.4,0.35,0.4,0.05,31,58,53.4,229,43,21.8,25.9,43,18.6,29.6,66,4,6.1,19,2.28,20.6,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
2,6.0,11,1,0,1,2,10.9,0.22,1.9,0.31,50,120,41.7,119,30,52.1,39.9,74,78.4,48.0,125,6,4.8,3,0.5,13.4,/en/squads/5a8dc328/2019-2020/Lokomotiv-Moscow-Stats
