players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
19,6.0,10,76,24,31.6,12.67,4.0,0.13,0.42,17.8,3,0,0,7.5,7.5,0.1,2.5,2.5,/en/squads/19c3f8c4/2019-2020/Ajax-Stats
23,9.0,17,113,40,35.4,12.56,4.44,0.12,0.33,16.8,6,4,5,17.7,13.7,0.13,-0.7,-0.7,/en/squads/922493f3/2019-2020/Atalanta-Stats
21,9.3,13,119,43,36.1,12.75,4.61,0.09,0.26,19.3,2,2,3,15.3,12.9,0.11,-2.3,-1.9,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
24,9.0,13,103,42,40.8,11.44,4.67,0.12,0.29,17.8,8,1,1,14.4,13.6,0.13,-1.4,-1.6,/en/squads/206d90db/2019-2020/Barcelona-Stats
20,11.0,43,239,97,40.6,21.73,8.82,0.17,0.42,17.2,7,2,2,35.5,34.0,0.15,7.5,7.0,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
23,6.0,9,82,28,34.1,13.67,4.67,0.1,0.29,20.8,7,1,1,8.1,7.3,0.09,0.9,0.7,/en/squads/a77c513e/2019-2020/Benfica-Stats
22,8.0,12,124,41,33.1,15.5,5.12,0.08,0.24,16.0,5,2,3,17.5,15.2,0.13,-5.5,-5.2,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
22,6.0,4,61,15,24.6,10.17,2.5,0.07,0.27,16.7,3,0,1,7.4,6.6,0.11,-3.4,-2.6,/en/squads/f1e6c5f1/2019-2020/Club-Brugge-Stats
21,6.0,10,49,18,36.7,8.17,3.0,0.18,0.5,17.4,3,1,1,7.5,6.8,0.14,2.5,2.2,/en/squads/edd0d381/2019-2020/Dinamo-Zagreb-Stats
24,8.0,10,95,32,33.7,11.87,4.0,0.11,0.31,16.9,2,0,1,14.4,13.6,0.15,-4.4,-3.6,/en/squads/add600ae/2019-2020/Dortmund-Stats
