players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
21,24.7,6,540,90,100,6.0,66,82,40,26,19,34,1.17,7,7,0,0.0,8.1,8.0,0.0,0.01,/en/squads/19c3f8c4/2020-2021/Ajax-Stats
25,27.5,8,720,90,100,8.0,88,82,57,31,20,60,1.38,11,12,-1,-0.12,11.7,10.4,1.3,0.16,/en/squads/922493f3/2020-2021/Atalanta-Stats
20,27.0,8,720,90,100,8.0,88,84,57,31,17,57,1.13,7,11,-4,-0.5,9.2,10.3,-1.1,-0.14,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
27,26.0,8,720,90,100,8.0,88,80,48,39,23,43,2.0,18,10,8,1.0,20.4,12.9,7.5,0.94,/en/squads/206d90db/2020-2021/Barcelona-Stats
26,27.0,10,900,90,100,10.0,110,82,69,40,21,48,2.5,27,10,17,1.7,21.8,14.0,7.8,0.78,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
21,29.5,6,540,90,100,6.0,66,81,40,26,22,32,0.5,7,18,-11,-1.83,5.2,12.2,-7.0,-1.16,/en/squads/bff39cf5/2020-2021/Istanbul-Basaksehir-Stats
24,26.2,13,1170,90,100,13.0,143,84,90,53,15,97,2.31,23,4,19,1.46,26.0,9.0,17.0,1.31,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
22,25.8,6,540,90,100,6.0,66,85,45,20,13,37,1.33,8,10,-2,-0.33,8.5,9.3,-0.8,-0.13,/en/squads/f1e6c5f1/2020-2021/Club-Brugge-Stats
26,25.8,10,900,90,100,10.0,110,84,71,39,16,71,1.7,19,13,6,0.6,14.4,13.6,0.8,0.08,/en/squads/add600ae/2020-2021/Dortmund-Stats
22,24.4,6,540,90,100,6.0,66,84,39,26,14,41,0.67,4,13,-9,-1.5,6.3,13.0,-6.7,-1.12,/en/squads/c734e22f/2020-2021/Dynamo-Kyiv-Stats
20,27.8,6,540,90,100,6.0,66,83,38,28,18,32,0.17,5,17,-12,-2.0,5.6,12.7,-7.1,-1.19,/en/squads/6611f992/2020-2021/Ferencvaros-Stats
21,27.0,8,720,90,100,8.0,88,84,56,32,17,58,1.0,16,13,3,0.37,11.6,13.8,-2.3,-0.28,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
21,28.3,6,540,90,100,6.0,66,83,42,23,17,40,1.0,7,9,-2,-0.33,8.3,6.5,1.8,0.3,/en/squads/d609edc0/2020-2021/Internazionale-Stats
22,27.6,8,750,94,100,8.3,88,85,53,34,23,50,2.25,18,8,10,1.2,15.8,9.8,6.0,0.73,/en/squads/e0652b02/2020-2021/Juventus-Stats
23,27.8,6,540,90,100,6.0,66,84,45,22,17,26,0.83,6,11,-5,-0.83,6.4,11.9,-5.5,-0.92,/en/squads/fa11a9cc/2020-2021/Krasnodar-Stats
25,29.0,8,720,90,100,8.0,88,80,51,37,25,52,1.25,13,13,0,0.0,13.1,11.6,1.5,0.19,/en/squads/7213da33/2020-2021/Lazio-Stats
