players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
21,6.0,2631,3408,77.2,45424,17489,1167,1358,85.9,1113,1329,83.7,256,490,52.2,5,5.7,5.8,-0.7,48,195,42,11,255,/en/squads/19c3f8c4/2020-2021/Ajax-Stats
25,8.0,3158,4052,77.9,54011,21440,1546,1777,87.0,1202,1440,83.5,314,558,56.3,10,10.0,7.2,0.0,71,258,61,11,313,/en/squads/922493f3/2020-2021/Atalanta-Stats
20,8.0,3258,4181,77.9,53423,18979,1590,1828,87.0,1169,1410,82.9,320,573,55.8,6,7.8,9.0,-1.8,65,243,82,13,355,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
27,8.0,5515,6151,89.7,79824,23314,3056,3233,94.5,1873,2038,91.9,278,398,69.8,12,13.6,15.1,-1.6,109,410,113,14,484,/en/squads/206d90db/2020-2021/Barcelona-Stats
26,10.0,5362,6355,84.4,95310,30508,2380,2655,89.6,2240,2513,89.1,594,861,69.0,18,15.2,16.3,2.8,119,420,112,26,585,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
21,6.0,2146,2773,77.4,37081,13710,1006,1149,87.6,851,1015,83.8,224,430,52.1,5,4.4,4.4,0.6,48,128,34,9,195,/en/squads/bff39cf5/2020-2021/Istanbul-Basaksehir-Stats
24,13.0,6232,7483,83.3,99615,33624,3181,3476,91.5,2358,2695,87.5,439,807,54.4,16,18.8,12.8,-2.8,117,386,107,22,526,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
22,6.0,2661,3324,80.1,48485,16370,1143,1299,88.0,1075,1234,87.1,337,560,60.2,4,5.4,6.0,-1.4,40,213,46,9,250,/en/squads/f1e6c5f1/2020-2021/Club-Brugge-Stats
26,10.0,5066,5974,84.8,86899,26915,2306,2550,90.4,2087,2314,90.2,497,763,65.1,11,9.9,10.4,1.1,93,430,89,4,463,/en/squads/add600ae/2020-2021/Dortmund-Stats
22,6.0,2397,2931,81.8,42991,13806,1047,1181,88.7,1029,1186,86.8,254,416,61.1,1,3.8,3.7,-2.8,29,145,35,14,180,/en/squads/c734e22f/2020-2021/Dynamo-Kyiv-Stats
20,6.0,2554,3106,82.2,48627,15653,999,1131,88.3,1188,1343,88.5,321,507,63.3,3,3.5,2.3,-0.5,45,135,31,3,181,/en/squads/6611f992/2020-2021/Ferencvaros-Stats
21,8.0,3260,3961,82.3,54291,18153,1575,1736,90.7,1307,1494,87.5,277,495,56.0,9,7.6,5.8,1.4,56,152,52,8,214,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
21,6.0,2788,3369,82.8,52070,16428,1082,1227,88.2,1358,1509,90.0,291,442,65.8,6,5.9,6.6,0.1,59,232,65,22,289,/en/squads/d609edc0/2020-2021/Internazionale-Stats
22,8.3,4454,5227,85.2,78669,25279,1958,2162,90.6,2025,2238,90.5,395,597,66.2,14,11.2,8.5,2.8,101,355,82,29,437,/en/squads/e0652b02/2020-2021/Juventus-Stats
23,6.0,1773,2411,73.5,29934,13173,850,992,85.7,645,809,79.7,182,398,45.7,4,3.8,4.8,0.2,46,115,49,8,201,/en/squads/fa11a9cc/2020-2021/Krasnodar-Stats
25,8.0,3295,4028,81.8,58871,20971,1447,1618,89.4,1356,1559,87.0,382,596,64.1,8,9.3,6.9,-1.3,69,236,54,17,268,/en/squads/7213da33/2020-2021/Lazio-Stats
29,10.0,4722,5888,80.2,79146,27797,2312,2599,89.0,1800,2101,85.7,437,799,54.7,10,10.8,9.1,-0.8,85,305,88,15,439,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
22,6.0,1700,2329,73.0,31025,14399,768,934,82.2,626,781,80.2,241,436,55.3,3,3.0,2.9,0.0,31,105,27,8,157,/en/squads/5a8dc328/2020-2021/Lokomotiv-Moscow-Stats
25,13.0,8282,9399,88.1,133374,37276,3992,4290,93.1,3334,3638,91.6,580,841,69.0,18,16.9,17.5,1.1,125,571,128,11,698,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
23,6.0,2618,3233,81.0,42136,14526,1276,1432,89.1,953,1111,85.8,212,362,58.6,7,6.8,5.5,0.2,66,184,49,7,235,/en/squads/19538871/2020-2021/Manchester-United-Stats
20,6.0,2583,3182,81.2,43802,14773,1249,1391,89.8,1045,1192,87.7,217,439,49.4,0,3.2,3.0,-3.2,37,147,21,7,191,/en/squads/5725cc7b/2020-2021/Marseille-Stats
22,6.0,1797,2548,70.5,34613,13936,725,899,80.6,738,938,78.7,283,547,51.7,2,4.5,3.9,-2.5,41,137,31,8,174,/en/squads/3c4fb635/2020-2021/Midtjylland-Stats
21,6.0,2498,3153,79.2,43870,15002,1185,1333,88.9,978,1143,85.6,269,479,56.2,2,3.1,3.2,-1.1,30,155,24,8,189,/en/squads/2fdb4aef/2020-2021/Olympiacos-Stats
