players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
24,14.0,6760,6196,541,145,35,20,231,213,77,73,0,1,5647,23,108,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
25,12.0,5511,5031,464,153,21,11,137,174,46,25,4,1,4617,16,104,/en/squads/8602292d/Aston-Villa-Stats
24,10.0,5529,5072,432,102,14,25,239,182,65,23,29,0,4633,25,105,/en/squads/922493f3/2024-2025/Atalanta-Stats
23,10.3,5690,5273,405,117,24,31,171,155,52,18,10,0,4794,12,96,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
27,14.3,8853,8164,675,239,34,44,213,255,68,34,5,0,7645,14,109,/en/squads/206d90db/2024-2025/Barcelona-Stats
27,14.0,9700,9078,601,141,44,64,320,272,105,75,6,1,8412,21,141,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
23,12.0,5426,4834,555,121,30,44,176,255,61,41,8,0,4290,37,127,/en/squads/a77c513e/2024-2025/Benfica-Stats
24,8.0,3597,3210,362,120,6,29,136,151,36,2,25,0,2831,25,85,/en/squads/1d8099f8/Bologna-Stats
23,10.0,4178,3721,443,142,6,38,165,184,37,19,16,0,3212,14,64,/en/squads/fb08dbb3/Brest-Stats
24,10.0,5454,5001,435,98,24,11,138,185,58,20,20,1,4645,18,83,/en/squads/b81aa4fa/2024-2025/Celtic-Stats
21,12.0,5833,5390,431,116,23,46,121,160,35,26,6,2,4965,12,75,/en/squads/f1e6c5f1/2024-2025/Club-Brugge-Stats
25,8.0,2967,2612,340,94,8,21,106,122,25,8,14,0,2289,15,74,/en/squads/edd0d381/2024-2025/Dinamo-Zagreb-Stats
25,14.0,7572,6948,591,146,22,53,252,232,83,41,29,0,6376,33,124,/en/squads/add600ae/2024-2025/Dortmund-Stats
29,12.0,5027,4526,481,125,12,47,139,185,45,33,6,0,4056,20,90,/en/squads/fb4ca611/2024-2025/Feyenoord-Stats
26,8.0,4007,3664,331,98,10,43,129,107,43,24,14,0,3393,12,69,/en/squads/9024a00a/Girona-Stats
25,15.3,7560,6937,581,170,42,40,197,212,48,17,22,1,6308,42,125,/en/squads/d609edc0/2024-2025/Internazionale-Stats
26,10.3,5299,4872,402,98,18,34,187,182,39,22,15,0,4501,25,91,/en/squads/e0652b02/2024-2025/Juventus-Stats
25,10.0,6208,5802,392,90,23,32,178,151,54,34,6,1,5376,14,96,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats
25,10.0,4982,4496,470,132,13,12,95,197,37,19,6,0,4130,16,104,/en/squads/cb188c0c/Lille-Stats
27,10.3,5463,5029,420,110,26,37,166,168,53,35,10,0,4597,14,79,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
26,10.0,6682,6298,374,81,17,14,194,148,75,41,18,0,6003,10,107,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
26,10.0,5195,4740,441,136,30,24,132,162,49,28,0,0,4479,14,70,/en/squads/dc56fe14/Milan-Stats
25,10.0,4824,4303,493,143,14,30,134,209,42,23,11,1,3827,28,94,/en/squads/fd6114db/2024-2025/Monaco-Stats
28,12.3,6696,6158,522,145,6,38,245,195,68,21,26,0,5574,16,112,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats
22,17.3,11284,10520,737,202,47,93,253,297,105,20,33,0,9866,27,170,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
23,8.0,3925,3552,354,85,11,17,130,134,42,18,16,0,3190,19,76,/en/squads/acbb6a5b/RB-Leipzig-Stats
24,8.0,3862,3507,341,91,8,16,107,126,27,10,10,0,3157,14,82,/en/squads/50f2a074/2024-2025/Red-Bull-Salzburg-Stats
23,14.3,8112,7511,587,163,29,84,234,208,93,36,26,0,7112,14,110,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
24,8.0,3343,2930,394,122,17,32,170,127,40,18,22,0,2637,19,68,/en/squads/099c6eb5/2024-2025/Red-Star-Stats
21,8.0,3642,3330,302,77,17,31,91,97,31,21,3,0,2979,10,67,/en/squads/e89d5a28/2024-2025/Shakhtar-Donetsk-Stats
23,8.0,3072,2693,367,109,11,25,76,109,32,20,10,1,2372,12,77,/en/squads/ae7f2f70/2024-2025/Slovan-Bratislava-Stats
26,8.0,2758,2435,315,75,6,20,77,132,19,19,0,0,2033,8,61,/en/squads/ecb862be/2024-2025/Sparta-Prague-Stats
27,10.0,5015,4525,477,165,17,19,115,165,40,18,15,1,4260,13,84,/en/squads/13dc44fd/2024-2025/Sporting-CP-Stats
23,8.0,2944,2582,344,100,14,11,101,121,22,10,10,0,2220,18,36,/en/squads/3f4fe568/2024-2025/Sturm-Graz-Stats
23,8.0,4773,4377,379,109,18,14,176,149,60,27,9,0,3970,17,92,/en/squads/598bc722/Stuttgart-Stats
24,8.0,3102,2756,331,95,5,28,118,117,28,18,3,0,2423,15,46,/en/squads/4b682260/2024-2025/Young-Boys-Stats
