players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
16,1,14,9,6,7,1,3,7,42.9,4,14,6,8,9,23,24,1,/en/squads/19c3f8c4/Ajax-Stats
15,1,20,15,11,5,4,7,11,63.6,4,13,4,9,2,22,29,2,/en/squads/18bb7c10/Arsenal-Stats
16,1,13,8,7,3,3,7,19,36.8,12,15,4,11,9,22,10,3,/en/squads/922493f3/Atalanta-Stats
16,1,16,11,7,6,3,8,16,50.0,8,9,1,8,9,25,28,0,/en/squads/2b390eca/Athletic-Club-Stats
15,1,17,11,12,5,0,11,19,57.9,8,12,4,8,9,26,29,1,/en/squads/db3b9613/Atletico-Madrid-Stats
16,1,18,10,5,9,4,7,14,50.0,7,15,3,12,13,31,30,0,/en/squads/206d90db/Barcelona-Stats
16,1,13,9,5,6,2,7,16,43.8,9,6,2,4,11,24,16,0,/en/squads/054efa67/Bayern-Munich-Stats
15,1,19,9,8,7,4,10,17,58.8,7,15,2,13,9,28,15,1,/en/squads/a77c513e/Benfica-Stats
16,1,19,8,14,3,2,11,19,57.9,8,14,8,6,11,30,41,3,/en/squads/d86248bd/2025-2026/BodoGlimt-Stats
14,1,10,6,3,6,1,3,10,30.0,7,13,4,9,12,22,12,2,/en/squads/cff3d9bb/Chelsea-Stats
16,1,16,6,6,9,1,8,11,72.7,3,10,3,7,8,24,21,0,/en/squads/f1e6c5f1/Club-Brugge-Stats
14,1,24,14,8,12,4,11,17,64.7,6,8,5,3,5,29,27,1,/en/squads/add600ae/Dortmund-Stats
16,1,17,10,6,8,3,6,14,42.9,8,7,2,5,12,29,25,1,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
15,1,18,13,9,6,3,11,17,64.7,6,8,4,4,8,26,22,0,/en/squads/18050b20/FC-Copenhagen-Stats
16,1,8,5,4,3,1,3,9,33.3,6,14,4,10,13,21,28,4,/en/squads/ecd11ca2/Galatasaray-Stats
16,1,15,11,6,6,3,10,12,83.3,2,6,1,5,9,24,26,0,/en/squads/d609edc0/Internazionale-Stats
16,1,12,9,5,6,1,7,10,70.0,3,14,1,13,8,20,18,1,/en/squads/e0652b02/Juventus-Stats
16,1,10,6,4,5,1,6,12,50.0,6,2,1,1,7,17,24,0,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
16,1,13,6,3,9,1,3,7,42.9,4,8,2,6,5,18,29,0,/en/squads/822bd0ba/Liverpool-Stats
16,1,11,7,6,4,1,8,12,66.7,4,7,0,7,9,20,11,0,/en/squads/b8fd03ef/Manchester-City-Stats
16,1,22,14,16,5,1,16,27,59.3,11,6,5,1,6,28,25,5,/en/squads/5725cc7b/Marseille-Stats
16,1,13,8,6,5,2,1,8,12.5,7,8,7,1,10,23,16,2,/en/squads/fd6114db/Monaco-Stats
16,1,11,8,11,0,0,3,6,50.0,3,12,6,6,10,21,22,0,/en/squads/d48ad4ff/Napoli-Stats
16,1,13,5,6,5,2,7,16,43.8,9,18,6,12,7,20,25,0,/en/squads/b2b47a98/Newcastle-United-Stats
16,1,10,9,2,4,4,6,10,60.0,4,6,0,6,3,13,1,0,/en/squads/2fdb4aef/Olympiacos-Stats
16,1,21,13,8,6,7,12,20,60.0,8,12,4,8,19,40,21,1,/en/squads/e334d850/PSV-Eindhoven-Stats
16,1,18,14,13,5,0,8,18,44.4,10,13,7,6,5,23,61,0,/en/squads/cb42669e/Pafos-FC-Stats
16,1,12,10,3,4,5,3,7,42.9,4,14,2,12,6,18,11,2,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
15,1,16,10,10,3,3,9,18,50.0,9,10,6,4,10,26,31,1,/en/squads/44b65410/Qarabag-Stats
16,1,18,9,12,5,1,12,36,33.3,24,14,5,9,10,28,25,0,/en/squads/768fb565/Qairat-Almaty-Stats
15,1,11,8,3,6,2,5,11,45.5,6,5,2,3,10,21,20,2,/en/squads/53a2f082/Real-Madrid-Stats
16,1,24,11,14,7,3,7,14,50.0,7,11,2,9,8,32,27,1,/en/squads/111cbfb1/Slavia-Prague-Stats
16,1,11,7,4,6,1,4,7,57.1,3,6,2,4,9,20,11,0,/en/squads/13dc44fd/Sporting-CP-Stats
16,1,18,14,5,11,2,11,17,64.7,6,17,4,13,5,23,21,3,/en/squads/361ca564/Tottenham-Hotspur-Stats
14,1,23,12,17,6,0,19,37,51.4,18,20,2,18,17,40,40,1,/en/squads/e14f61a5/Union-SG-Stats
16,1,13,9,4,8,1,8,20,40.0,12,10,3,7,14,27,32,2,/en/squads/2a8183b3/Villarreal-Stats
